Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
International aviation,,2018,1.6493077177048716,605797760
International aviation,,2019,1.6806927784461685,623608900
International aviation,,2020,0.7691086539770108,270161150
International aviation,,2021,0.794004087698342,293715900
International aviation,,2022,1.1391996618971616,424851260
International aviation,,2023,1.3849955686028304,523411550
International shipping,,1950,2.105859078709555,124882580
International shipping,,1951,2.3393878613079604,149286370
International shipping,,1952,2.3505516756038993,152021000
International shipping,,1953,2.364384435843639,157252500
International shipping,,1954,2.311785867408941,156959380
International shipping,,1955,2.4251911106001622,180528700
International shipping,,1956,2.4421007646380124,193561220
International shipping,,1957,2.629717800877083,215259360
International shipping,,1958,2.356199085628186,198325700
International shipping,,1959,2.2852594268041737,202352620
International shipping,,1960,2.3810043276102797,223505120
International shipping,,1961,2.603319712485223,245103650
International shipping,,1962,2.5811328209431665,251590430
International shipping,,1963,2.5578791641110437,262611630
International shipping,,1964,2.6445025858936893,286253280
International shipping,,1965,2.584286055591595,292296960
International shipping,,1966,2.6374679510676495,312871870
International shipping,,1967,2.681733449572295,328171680
International shipping,,1968,2.654908825933916,342620220
International shipping,,1969,2.6353119959171107,362662620
International shipping,,1970,2.4301747590584895,362071680
International shipping,,1971,2.445684741291304,379172300
International shipping,,1972,2.500949061889132,405765700
International shipping,,1973,2.5505460493649723,435763170
International shipping,,1974,2.3746237847751255,403948960
International shipping,,1975,2.136258817404722,364290940
International shipping,,1976,1.9681015960855672,354044000
International shipping,,1977,1.9091971985613474,353175400
International shipping,,1978,1.8713077315867148,356845100
International shipping,,1979,1.8080763231936547,354546050
International shipping,,1980,1.751007892368709,341245600
International shipping,,1981,1.609362109257018,306147420
International shipping,,1982,1.4159762805406124,267210270
International shipping,,1983,1.3158885712778727,249912380
International shipping,,1984,1.2393378015043577,243502620
International shipping,,1985,1.2284125584915262,249513950
International shipping,,1986,1.305711668325504,269171970
International shipping,,1987,1.4607000366612886,310399800
International shipping,,1988,1.4458588404758956,319319700
International shipping,,1989,1.4438362164748326,323226270
International shipping,,1990,1.5911688204290653,361656400
International shipping,,1991,1.4997525515975136,347733920
International shipping,,1992,1.4982086566245543,337518800
International shipping,,1993,1.4671186914746557,333854180
International shipping,,1994,1.5091767879147981,347004000
International shipping,,1995,1.5540467009231127,365699500
International shipping,,1996,1.6537714795098257,401174600
International shipping,,1997,1.7116439138269954,417673660
International shipping,,1998,1.8140697916228596,440887420
International shipping,,1999,1.8442194656330664,458357220
International shipping,,2000,1.81689670061089,463500320
International shipping,,2001,1.7721648333612317,455557820
International shipping,,2002,1.7368233089411111,456382720
International shipping,,2003,1.7153672442104266,474633300
International shipping,,2004,1.8083890667269777,517786980
International shipping,,2005,1.7963992102607214,531992600
International shipping,,2006,1.8584464631159738,569212200
International shipping,,2007,1.9392025367878043,611520400
International shipping,,2008,1.9205232757269743,615992450
International shipping,,2009,1.8862118634129288,594947460
International shipping,,2010,1.888148205017641,629808900
International shipping,,2011,1.8529085673923917,639337540
International shipping,,2012,1.7527295708703765,613455700
International shipping,,2013,1.7441040288157317,615697600
International shipping,,2014,1.7533414340150155,621561200
International shipping,,2015,1.8041583369161593,638760400
International shipping,,2016,1.7855790658426205,632392400
International shipping,,2017,1.794050118991225,645676800
International shipping,,2018,1.7459500475782115,641294900
International shipping,,2019,1.6902895158331608,627169700
International shipping,,2020,1.661647504865129,583679040
International shipping,,2021,1.621727976565326,599905340
International shipping,,2022,1.5960602472270824,595232100
International shipping,,2023,1.5695505173364652,593157760
North America (excl. USA),,1923,4.589220762660296,169374270
North America (excl. USA),,1924,4.040384985636861,149606450
North America (excl. USA),,1925,3.647912472240231,136455040
North America (excl. USA),,1926,3.6318275909838564,133557100
North America (excl. USA),,1927,3.206319534836717,128667920
North America (excl. USA),,1928,3.081101939286425,123130440
North America (excl. USA),,1929,2.939415973797952,126048370
North America (excl. USA),,1930,3.033692035119054,120076440
North America (excl. USA),,1931,2.7367574968105757,96862616
North America (excl. USA),,1932,2.837870723178436,90601620
North America (excl. USA),,1933,2.734902411518178,91966110
North America (excl. USA),,1934,2.860660785913975,104591110
North America (excl. USA),,1935,2.7730083853299203,106365460
North America (excl. USA),,1936,2.734285917466682,115056856
North America (excl. USA),,1937,2.8212630916881887,126864170
North America (excl. USA),,1938,2.819421031882866,119250776
North America (excl. USA),,1939,2.8633531322239603,127995740
North America (excl. USA),,1940,2.9364098480627825,143433740
North America (excl. USA),,1941,3.0673809063291686,153341220
North America (excl. USA),,1942,3.2383175176456076,161349940
North America (excl. USA),,1943,3.316142337246837,168303280
North America (excl. USA),,1944,3.3316580140676875,171996400
North America (excl. USA),,1945,3.844321266377844,164894960
North America (excl. USA),,1946,3.8079059832453748,175489140
North America (excl. USA),,1947,3.591445646463037,185505550
North America (excl. USA),,1948,3.7109898748266157,202170460
North America (excl. USA),,1949,3.6155815214665368,188156130
North America (excl. USA),,1950,3.4302607567227588,203422830
North America (excl. USA),,1951,3.4811664917292755,222148160
North America (excl. USA),,1952,3.3574813737968077,217143780
North America (excl. USA),,1953,3.2936074788786107,219054060
North America (excl. USA),,1954,3.3702695455068223,228825440
North America (excl. USA),,1955,3.1944893556645892,237794460
North America (excl. USA),,1956,3.332537374911414,264137340
North America (excl. USA),,1957,3.268398575503311,267539500
North America (excl. USA),,1958,3.2753374321918236,275691300
North America (excl. USA),,1959,3.19782798836492,283157730
North America (excl. USA),,1960,3.1098992394643217,291926560
North America (excl. USA),,1961,3.1605746751841064,297569440
North America (excl. USA),,1962,3.2376735429980714,315585340
North America (excl. USA),,1963,3.079430712455889,316158140
North America (excl. USA),,1964,3.3006670637870466,357279580
North America (excl. USA),,1965,3.2913266660623637,372267140
North America (excl. USA),,1966,3.245637348710444,385016480
North America (excl. USA),,1967,3.4451948739783522,421598720
North America (excl. USA),,1968,3.4768644132022795,448694900
North America (excl. USA),,1969,3.3896495268800697,466471970
North America (excl. USA),,1970,3.5088429613309207,522782430
North America (excl. USA),,1971,3.5504871767422483,550457860
North America (excl. USA),,1972,3.629599881648883,588883300
North America (excl. USA),,1973,3.5802236039237334,611684540
North America (excl. USA),,1974,3.7027810636511207,629882750
North America (excl. USA),,1975,3.810159856522686,649737150
North America (excl. USA),,1976,3.8170972572932973,686661900
North America (excl. USA),,1977,3.7914421365955255,701365000
North America (excl. USA),,1978,3.8577429791159346,735644200
North America (excl. USA),,1979,3.996784312545241,783730240
North America (excl. USA),,1980,4.163820944969872,811467260
North America (excl. USA),,1981,4.246565987629182,807820200
North America (excl. USA),,1982,4.318373762619489,814924540
North America (excl. USA),,1983,4.067831138875858,772558850
North America (excl. USA),,1984,4.059431466339291,797589000
North America (excl. USA),,1985,3.9912140003628287,810691460
North America (excl. USA),,1986,3.8059681276819246,784598900
North America (excl. USA),,1987,3.8980175000683,828331500
North America (excl. USA),,1988,3.862026074668726,852933200
North America (excl. USA),,1989,3.94615359409062,883410800
North America (excl. USA),,1990,3.818280288396434,867856060
North America (excl. USA),,1991,3.759612514923519,871707000
North America (excl. USA),,1992,3.9356397226404107,886627100
North America (excl. USA),,1993,3.9240600220997996,892950140
North America (excl. USA),,1994,4.0220478636302905,924786750
North America (excl. USA),,1995,3.9254771893579345,923746400
North America (excl. USA),,1996,3.9426089067595864,956404540
North America (excl. USA),,1997,4.090246018324722,998097800
North America (excl. USA),,1998,4.216240677193233,1024705600
North America (excl. USA),,1999,4.221232563431092,1049133500
North America (excl. USA),,2000,4.2656902728815185,1088201000
North America (excl. USA),,2001,4.285041627649367,1101525200
North America (excl. USA),,2002,4.241083898972025,1114423900
North America (excl. USA),,2003,4.207452204705806,1164180400
North America (excl. USA),,2004,4.057379005744148,1161729000
North America (excl. USA),,2005,4.015378510861934,1189129700
North America (excl. USA),,2006,3.9384886537786112,1206295600
North America (excl. USA),,2007,3.911931387497328,1233613200
